"Tract","Population","MedAge","MedIncome","PerCapIncome","PovertyRate","Bachelors","Masters","Professional","Doctorate","Education25Plus","Hispanic","RaceTotal","Black","HousingUnits","MedHomePrice"
"Tract:1218.13",1650,41.3,97679,39423,4.4,219,89,47,39,1151,689,1650,33,622,258800
"Tract:1411.02",4031,30.1,26742,17032,42.2,91,81,0,0,2197,3572,4031,182,1771,138500
"Tract:1412",7663,36.4,49259,22066,20.6,423,40,22,0,4947,6848,7663,116,2539,156700
"Tract:1214.02",11623,32.6,78721,27542,16.1,1013,314,22,77,7173,7032,11623,1286,3216,212900
"Tract:1211.15",4976,46.5,81453,47295,4.5,1075,344,69,70,3830,2212,4976,83,2280,320500
"Tract:1211.22",5211,41.3,115462,46126,4.5,1004,521,73,27,3759,1809,5211,181,1900,320600
"Tract:1209.01",2325,40.6,77619,43684,15.6,429,265,64,18,1703,1164,2325,140,1125,369300
"Tract:1813.03",4074,26.3,42091,24944,28.6,155,133,20,10,2185,1749,4074,1332,1728,295000
"Tract:1719.22",6210,29.9,80436,26440,16.9,808,148,6,0,3558,4059,6210,617,1951,237900
"Tract:1619.01",971,47.7,82667,36691,10.7,66,7,0,0,692,666,971,0,413,225800
"Tract:1620.03",5639,38.7,64034,23454,21.4,354,58,0,0,3922,4726,5639,0,1764,162800
"Tract:9801",1140,24.3,57500,21397,33.1,30,0,0,0,558,791,1140,82,366,NA
"Tract:1614",7384,21.3,69219,24672,14,522,136,10,3,1782,1169,7384,1194,488,NA
"Tract:1818.24",4052,34.3,93365,43712,12.1,802,384,0,48,2413,2088,4052,493,1445,288200
"Tract:1713.01",3099,29.2,45341,21844,20.7,63,74,37,10,1860,2818,3099,0,882,124200
"Tract:1918.13",6865,37.4,118393,54698,4,1548,819,113,38,4405,2773,6865,188,2549,365100
"Tract:1720.04",13758,34.7,110760,42494,4.2,2481,1691,16,180,8868,5367,13758,1620,4985,382400
"Tract:1219.05",7340,37.8,149563,67738,7.6,1568,1007,343,107,4801,2780,7340,567,2931,559000
"Tract:1918.10",6709,35.1,91789,50342,16.1,1554,369,142,440,4080,2161,6709,887,2480,554500
"Tract:1520",3858,25.6,72976,24287,16,132,45,0,24,2002,3046,3858,112,1381,213000
"Tract:1620.04",3282,42,64813,24618,9.8,186,134,18,0,2170,2781,3282,23,1125,203900
"Tract:9800.05",53,44.6,142292,58755,13.2,10,9,0,0,36,4,53,0,19,487500
"Tract:1817.26",13362,30.6,138612,36756,3.5,1651,1042,79,124,8201,7987,13362,637,3787,285300
"Tract:1817.23",4349,34.3,94071,30770,13.7,611,159,43,30,2743,2700,4349,168,1336,239800
"Tract:1103",2599,37.6,50189,30198,30.7,358,136,48,22,1751,1927,2599,114,1691,439800
"Tract:1719.17",8445,34.5,93171,37733,7,1136,505,62,0,4995,5501,8445,560,2770,244000
"Tract:1818.15",3184,34.2,93288,44536,6.9,644,227,110,60,2135,1659,3184,247,1412,317500
"Tract:1918.09",8018,41.2,175046,64907,1.5,2049,1016,257,169,5378,2921,8018,257,2765,475300
"Tract:1818.17",2952,47.5,74712,41583,8.7,568,151,10,72,2353,1648,2952,377,1320,308200
"Tract:1818.16",4647,38.1,91452,50421,9.6,694,496,292,185,3495,2309,4647,285,1825,312100
"Tract:1219.03",5828,40.8,118136,59854,0.9,1648,719,184,94,4620,1956,5828,475,2783,382700
"Tract:1821.06",11493,37.2,128438,48274,3.4,2489,1157,382,173,7599,6105,11493,382,3861,418200
"Tract:9800.04",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA
"Tract:1918.14",6158,40.6,132000,52674,5.7,1054,490,368,105,3856,2224,6158,325,2096,412200
"Tract:1719.18",8443,31.7,76147,36332,15.5,1282,340,73,176,5504,5261,8443,1099,3442,270100
"Tract:1719.27",12912,27.8,77998,31639,18.1,1130,434,16,59,7285,9236,12912,1209,4978,233200
"Tract:1817.33",5608,31.9,98722,35347,5.7,755,469,15,0,3510,3386,5608,369,1711,272400
"Tract:1719.29",2477,39.6,67206,39104,6,445,142,26,0,1823,1589,2477,240,1205,210900
"Tract:1316.16",9531,31.6,86295,30134,17.7,959,295,55,34,6054,3121,9531,1627,3024,251600
"Tract:1203.02",4172,40,237308,120883,3.5,1272,435,260,261,2858,593,4172,49,2054,811400
"Tract:1111",3870,35.5,86250,75085,8,842,451,183,212,3078,1855,3870,197,3099,420500
"Tract:1917.02",7835,34.8,112000,74004,4.2,1620,1259,374,112,5064,1646,7835,439,3510,434200
"Tract:1720.03",5479,35,109337,36105,9.8,830,370,28,27,3407,3356,5479,361,1777,306300
"Tract:9800.01",0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA
"Tract:1316.12",2368,30.8,91291,33531,5.7,252,79,50,35,1445,942,2368,825,722,250200
"Tract:1821.02",11979,39.4,164875,61549,8.8,2601,1670,381,187,7966,4337,11979,155,4313,540600
"Tract:1620.01",2259,38.3,54464,23206,15.6,116,74,18,0,1513,1951,2259,0,819,119300
"Tract:1918.12",3914,43.4,143535,62991,1.9,889,625,127,229,2542,1584,3914,115,1486,542000
"Tract:1818.21",3939,30.1,86324,39858,16.4,576,295,57,93,2437,2101,3939,86,1555,264200
"Tract:1918.04",12291,39.6,169254,55759,4,3077,1563,117,199,8386,3808,12291,547,3926,546700
"Tract:1912.02",4520,45.2,61401,37742,13.3,676,388,153,96,3523,2376,4520,461,2673,283400
"Tract:1907",3565,44.2,56121,61002,18.8,528,205,40,236,2389,2429,3565,14,1956,205200
"Tract:1311",3098,35.1,37901,19111,40.2,195,65,0,31,2009,2142,3098,796,1088,109800
"Tract:1215.06",4531,38.4,54237,29430,14.8,358,197,46,29,3246,2035,4531,843,1772,183400
"Tract:1212.04",7753,40.2,51966,31504,12.5,985,183,39,210,5549,4515,7753,822,4652,167900
"Tract:1210",7257,37.7,64688,30850,23.9,1055,473,35,89,4887,4083,7257,153,3049,276700
"Tract:1810.01",3514,34,62292,29483,13,538,135,20,21,2381,2614,3514,265,1296,232900
"Tract:1305",3732,35.4,30932,17864,43.4,138,43,0,8,2289,2789,3732,696,1870,158600
"Tract:1205.02",5198,30.8,52969,20943,30.6,338,77,15,0,3082,3648,5198,694,1971,132000
"Tract:1413",7272,41.8,53313,25804,24.7,340,173,0,24,5199,4875,7272,1207,3194,221500
"Tract:1208",7096,40.7,140086,64701,4.8,1714,1017,737,184,5045,1527,7096,353,3272,453200
"Tract:1607.01",3965,34.3,57880,19884,6.4,0,0,0,0,2582,3945,3965,0,1088,117200
"Tract:1503",3179,37.8,41780,23426,15.8,200,121,22,0,2235,2793,3179,34,1645,115800
"Tract:1817.12",3629,44.7,96563,39143,10.3,888,310,4,6,2688,1760,3629,337,1359,254900
"Tract:1717",8437,29.8,58192,21833,15.9,618,157,0,58,5040,6834,8437,850,2774,171900
"Tract:1719.16",10458,32.7,95259,35046,3.1,1050,624,53,22,6263,7153,10458,965,3205,268200
"Tract:1706",3654,45.8,56806,24933,25.1,240,58,17,7,2918,3373,3654,7,1790,154700
"Tract:1719.03",6009,31.6,59670,22856,14.9,187,226,1,0,3765,4806,6009,121,2001,172400
"Tract:1817.13",7409,35.5,83663,34769,5.7,919,317,103,37,4918,4586,7409,462,2808,254300
"Tract:1812",5044,47.6,117747,51514,2.6,1283,742,178,98,4018,1747,5044,23,2268,372200
"Tract:1820.02",9160,48.4,171426,79604,3.7,2071,1433,675,352,6559,3023,9160,108,3528,491500
"Tract:1817.22",4750,36.1,100714,35238,13.6,712,353,43,65,3123,2394,4750,230,1603,281800
